id,databaseId,createdAt,additions,deletions,closed,closedAt,merged,mergedAt,body,participants,comments,reviews,duration,name,owner
MDExOlB1bGxSZXF1ZXN0MjY1Njg1NTg=,26568558,2014-12-24T20:43:10Z,100,1,True,2014-12-27T06:16:17Z,True,2014-12-27T06:16:17Z,0,3,2,0,57.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0MjY3MTUwNTA=,26715050,2014-12-31T04:48:02Z,122,106,True,2014-12-31T04:48:08Z,True,2014-12-31T04:48:08Z,0,1,0,0,0.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0MjY4NzM4OTQ=,26873894,2015-01-06T07:31:40Z,61466,34,True,2015-01-06T07:33:03Z,True,2015-01-06T07:33:03Z,0,2,0,0,0.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0MjcwODI1NDM=,27082543,2015-01-09T06:34:30Z,64419,3594,True,2015-01-09T06:34:47Z,True,2015-01-09T06:34:47Z,0,3,0,0,0.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0MjcxMDg1MzU=,27108535,2015-01-09T15:55:49Z,2,2,True,2015-01-09T18:58:45Z,True,2015-01-09T18:58:45Z,343,2,0,0,3.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0MjcxNDQyNzU=,27144275,2015-01-10T04:32:22Z,461,433,True,2015-01-10T04:33:57Z,True,2015-01-10T04:33:57Z,105,3,0,0,0.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0MjcxNDQ3MjY=,27144726,2015-01-10T05:23:28Z,3,3,True,2015-01-10T18:56:01Z,True,2015-01-10T18:56:01Z,0,2,1,0,13.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0MjcyMTk0OTI=,27219492,2015-01-12T19:31:28Z,4,4,True,2015-01-13T06:12:42Z,True,2015-01-13T06:12:42Z,353,2,1,0,10.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0MjcyNDk4OTg=,27249898,2015-01-13T06:04:42Z,9,8,True,2015-01-13T06:10:35Z,True,2015-01-13T06:10:35Z,103,3,0,0,0.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0MjczMTI0MDM=,27312403,2015-01-13T22:51:37Z,27,9,True,2015-01-13T22:52:17Z,True,2015-01-13T22:52:17Z,0,3,0,0,0.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0MjczNjQ1NzI=,27364572,2015-01-14T16:54:38Z,1,1,True,2015-01-14T16:55:42Z,True,2015-01-14T16:55:42Z,89,2,0,0,0.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0Mjc0ODUzODE=,27485381,2015-01-16T05:42:34Z,86,6,True,2015-01-16T05:42:40Z,True,2015-01-16T05:42:40Z,0,1,0,0,0.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0Mjc1NjUzOTQ=,27565394,2015-01-18T01:37:40Z,84485,194,True,2015-01-18T02:53:26Z,True,2015-01-18T02:53:26Z,44,3,0,0,1.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0Mjc1NjYwNjI=,27566062,2015-01-18T02:55:32Z,84661,295,True,2015-01-18T02:56:07Z,True,2015-01-18T02:56:07Z,0,2,0,0,0.0,freeCodeCamp,freeCodeCamp
MDExOlB1bGxSZXF1ZXN0Mjc1NzMzNjM=,27573363,2015-01-18T16:32:01Z,2,1,True,2015-01-21T15:22:46Z,True,2015-01-21T15:22:46Z,66,2,0,0,70.0,freeCodeCamp,freeCodeCamp
